month,gross_profit,payout_rate,trader_payout,firm_share,ending_balance_after_payout
2026-01,16578.97372377821,0.8,13263.178979022568,3315.7947447556417,163315.79474475564
2026-02,-59.09474089570904,0.8,0.0,0.0,163256.70000385994
2026-03,8366.498778913148,0.8,6693.199023130519,1673.2997557826293,164929.99975964255
2026-04,15526.678064974294,0.8,12421.342451979435,3105.335612994859,168035.3353726374
2026-05,4655.70119779953,0.8,3724.560958239624,931.1402395599057,168966.4756121973
