regime_label,trades,blocked_trades,actual_pnl,v3_pnl,avg_pnl,v3_avg_pnl,win_rate,v3_win_rate,avg_quality_score,avg_suppression_score,avg_regime_confidence,avg_adx,avg_spread_percentile,avg_atr_percentile,overtrading_density,suppression_rate,profit_factor,profit_factor_v3,regime_verdict
EXPANSION,19,1,33432.555548109725,17453.68959204331,1759.6081867426171,918.61524168649,68.42105263157895,63.1578947368421,67.76748062447841,17.57894736842105,0.7431608587504591,26.951866876912323,0.6680713363226097,0.5202196972994936,1.1176470588235294,5.263157894736842,4.089596628971811,3.4896647738739714,WINNING_REGIME
RANGE,50,12,14133.462674501938,2481.569206036277,282.6692534900387,49.63138412072554,40.0,30.0,29.839254327860512,33.68,0.456,26.75319060906354,0.37030989798731734,0.5172881169010202,1.3513513513513513,24.0,1.272646406764619,1.4530434032929673,WINNING_REGIME
CHOP,46,33,3023.1458779241216,488.082986856822,65.72056256356787,10.61049971427874,36.95652173913043,13.043478260869565,11.970342725215017,52.93478260869565,0.7027868198086081,17.453456916129998,0.49793217535153017,0.41530849546277315,1.4375,71.73913043478261,1.0587842994053842,1.6635647001559546,OVERTRADED
HIGH_RISK,6,1,-224.92399306619427,24.21164350497697,-37.487332177699045,4.035273917496162,33.33333333333333,33.33333333333333,18.44160249960058,36.333333333333336,0.7446135465490303,24.053702511335718,0.7929693961952027,0.9475783475783476,1.2,16.666666666666664,0.9688023589419655,1.2113147089187088,LOSS_REGIME
NO_TRADE,1,1,-1765.7987898287995,0.0,-1765.7987898287995,0.0,0.0,0.0,0.0,100.0,0.8969478908188586,16.505795165783812,0.909567135373587,0.9186379928315412,1.0,100.0,0.0,0.0,LOSS_REGIME
TREND,2,0,-3529.684293071319,-1931.3421821760612,-1764.8421465356596,-965.6710910880306,0.0,0.0,78.48621122362334,7.0,0.6078634453880338,43.3307429014346,0.41422663358147227,0.5521367521367522,1.0,0.0,0.0,0.0,LOSS_REGIME
