month,trades,pnl,return_pct,win_rate,profit_factor,avg_trade,best_trade,worst_trade,max_drawdown_pct,end_equity,tp_hits,sl_hits,timeout_hits,ftmo_status
2026-01,36,16578.97372377821,10.36185857736134,44.44444444444444,1.5062419442402444,460.5270478827281,3461.744582819181,-1717.6508485476515,-4.140600144110518,176578.97372377815,14,20,2,PASS
2026-02,31,-59.09474089570904,-0.0334664652588689,35.483870967741936,0.998304909648857,-1.906281964377711,3618.9404003071177,-1846.5596041566253,-6.490817077711175,176519.87898288242,9,19,3,PASS
2026-03,28,8366.498778913148,4.739692111234883,39.285714285714285,1.2754988066008044,298.8035278183267,3594.176231873896,-1868.1452299171292,-4.413169653500115,184886.37776179548,11,17,0,PASS
2026-04,18,15526.678064974294,8.397956762925274,50.0,1.9349491985480016,862.5932258319052,3917.0839239542456,-1998.612801216633,-5.785012752636954,200413.05582676976,8,9,1,PASS
2026-05,11,4655.70119779953,2.32305284632941,45.45454545454545,1.387811739572007,423.2455634363209,4007.661116535372,-2044.8071694330552,-4.9453809594974025,205068.7570245693,4,6,1,PASS
