train_months,test_month,allowed_regimes,suppression_threshold,quality_floor,train_profit_factor,test_profit_factor,train_expectancy,test_expectancy,test_return,executed_trades,blocked_trades,regime_dependency_score,overfit_probability,walkforward_score
2026-01 | 2026-02,2026-03,"EXPANSION, RANGE",43.0,23.630207711917556,1.2443356789195443,1.6313292457992206,530.7260915694538,223.44350499267142,2904.7655649047283,13,15,0.0941806706343908,0.33658296763539536,58.63422096463367
2026-02 | 2026-03,2026-04,"EXPANSION, RANGE",38.0,24.276740217772527,1.127353925804726,1.303914385559082,433.342696585814,94.98070874382891,569.8842524629736,6,12,0.10254611727692105,0.4416823011477316,44.1876065839571
2026-03 | 2026-04,2026-05,"CHOP, EXPANSION, RANGE",35.0,27.07751326413495,1.5086303499825302,28.483425546080586,671.0875834528838,1129.1283972047602,6774.770383228561,6,5,0.12208009247592264,0.06104004623796132,100.0
