open_datum,sluit_datum,richting,open_prijs,sluit_prijs,pnl,reden,win,duur_dagen,atr_entry,sl_niveau,tp_niveau
2024-02-29,2024-03-01,KOOP,2045.699951171875,2086.89990234375,3967.83,Take Profit,True,1,15.89,2021.87,2085.41
2024-07-08,2024-07-16,KOOP,2355.199951171875,2462.39990234375,6834.07,Take Profit,True,8,27.35,2314.17,2423.58
2024-12-12,2024-12-19,KOOP,2687.5,2592.199951171875,-5116.8,Stop Loss,False,7,34.09,2636.37,2772.72
2025-01-10,2025-01-30,KOOP,2708.5,2823.0,7162.18,Take Profit,True,20,28.66,2665.51,2780.16
2025-06-02,2025-07-02,KOOP,3370.60009765625,3348.0,-2263.51,Death Cross,False,30,66.75,3270.48,3537.47
2025-08-07,2025-08-14,KOOP,3400.300048828125,3335.199951171875,-6058.14,Stop Loss,False,7,40.36,3339.75,3501.21
2025-08-28,2025-09-02,KOOP,3431.800048828125,3549.39990234375,8321.13,Take Profit,True,5,33.3,3381.85,3515.05
2025-11-18,2025-12-11,KOOP,4061.300048828125,4285.5,19475.01,Take Profit,True,23,77.91,3944.43,4256.09
2026-04-20,2026-04-28,KOOP,4806.60009765625,4591.5,-17126.58,Stop Loss,False,8,114.15,4635.37,5091.98
