open_datum,sluit_datum,richting,open_prijs,sluit_prijs,pnl,reden,win,duur_dagen,atr_entry,sl_niveau,tp_niveau
2024-07-02,2024-07-05,KOOP,2323.0,2388.5,6302.07,Take Profit,True,3,25.22,2285.17,2386.06
2024-08-02,2024-08-20,KOOP,2425.699951171875,2511.300048828125,7665.66,Take Profit,True,18,30.68,2379.68,2502.39
2025-07-03,2025-07-14,KOOP,3331.60009765625,3351.5,1986.49,Death Cross,True,11,49.17,3257.85,3454.51
2025-07-17,2025-07-22,KOOP,3340.10009765625,3439.199951171875,9860.44,Take Profit,True,5,39.46,3280.92,3438.74
2025-08-12,2025-08-18,KOOP,3348.89990234375,3331.699951171875,-1723.5,Death Cross,False,6,44.87,3281.6,3461.07
2025-08-28,2025-09-02,KOOP,3431.800048828125,3549.39990234375,8321.13,Take Profit,True,5,33.3,3381.85,3515.05
2025-12-29,2026-01-12,KOOP,4325.10009765625,4604.2998046875,17091.27,Take Profit,True,14,68.38,4222.53,4496.05
2026-04-10,2026-04-15,KOOP,4761.89990234375,4800.0,3806.51,Death Cross,True,5,137.48,4555.68,5105.61
